species_label,states,n
Dungeness crab (Metacarcinus magister),CA/OR/WA,5258
California mussel (Mytilus californianus),CA/OR/WA,3547
Razor clam (Siliqua patula),CA/OR/WA,2683
Rock crab (Cancer spp.),CA,891
Pacific oyster (Crassostrea gigas),CA/OR/WA,792
Bay mussel (Mytilus galloprovincialis),CA,504
Spiny lobster (Panulirus interruptus),CA,173
Purple varnish clam (Nuttallia obscurata),OR,35
Blue mussel (Mytilus trossulus),WA,33
Eastern softshell clam (Mya arenaria),OR,25
Pismo clam (Tivela stultorum),CA,22
Manila clam (Ruditapes philippinarum),WA,18
Cockle (Clinocardium nuttallii),CA/OR,17
Spider crab (Unknown),CA,12
Gaper clam (Tresus nuttallii),CA,8
Butter clam (Saxidomus gigantea),CA/OR,7
Gaper clam (Tresus capax),OR,7
Sheep crab (Loxorhynchus grandis),CA,5
Horse clam (Tresus capax),WA,3
Other (Unknown),WA,3
Kumamoto oyster (Crassostrea sikamea),CA,2
Littleneck clam (Leukoma staminea),CA/OR,2
Barnacle (Barnacle spp.),WA,1
Bay clam spp. (Unknown),OR,1
Bay mussel (Mytilus edulis),OR,1
Manila clam (Venerupis philippinarum),CA,1
Unknown (Unknown),OR,1
