latitude,longitude,depth,SampleID,Location_Code,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium,Cochlodinium,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
degrees_north,degrees_east,m,,,UTC,celsius,celsius,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
36.603687,-121.889275,5,10314,HAB_MWII,2010-11-10T08:00:00Z,13.65,NaN,NaN,25,NaN,NaN,9.511,NaN,NaN,NaN,1.27,10.18,NaN,3.41,NaN,NaN,50,0.0037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,162.0,19754.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,10321,HAB_MWII,2010-11-17T08:00:00Z,12.25,NaN,NaN,25,NaN,NaN,12.342,NaN,NaN,NaN,1.27,15.08,NaN,10.16,NaN,NaN,50,0.0031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2640.0,10156.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,10328,HAB_MWII,2010-11-24T08:00:00Z,10.6,NaN,NaN,25,NaN,NaN,7.592,NaN,NaN,NaN,1.03,8.88,NaN,6.67,NaN,NaN,50,0.0113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10697.0,37275.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,10335,HAB_MWII,2010-12-01T08:00:00Z,10.25,NaN,NaN,25,NaN,NaN,7.346,NaN,NaN,NaN,1.29,13.54,NaN,9.23,NaN,NaN,50,0.0101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2846.0,12218.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,10342,HAB_MWII,2010-12-08T08:00:00Z,11.8,NaN,NaN,25,NaN,NaN,18.332,NaN,NaN,NaN,0.72,6.22,NaN,6.0,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31641.0,58923.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,10349,HAB_MWII,2010-12-15T08:00:00Z,11.95,NaN,NaN,25,NaN,NaN,10.475,NaN,NaN,NaN,1.04,10.04,NaN,7.31,NaN,NaN,50,0.0059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1474.0,5899.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,10356,HAB_MWII,2010-12-22T08:00:00Z,11.95,NaN,NaN,25,NaN,NaN,6.236,NaN,NaN,NaN,0.76,6.04,NaN,4.46,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,205.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,10363,HAB_MWII,2010-12-29T08:00:00Z,12.2,NaN,NaN,25,NaN,NaN,11.244,NaN,NaN,NaN,0.81,6.68,NaN,4.94,NaN,NaN,50,4.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11005,HAB_MWII,2011-01-05T08:00:00Z,11.4,NaN,NaN,25,NaN,NaN,6.846,NaN,NaN,NaN,1.09,11.72,NaN,10.55,NaN,NaN,50,0.0013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11012,HAB_MWII,2011-01-12T08:00:00Z,11.3,NaN,NaN,25,NaN,NaN,5.2674,NaN,NaN,NaN,1.64,16.76,NaN,11.61,NaN,NaN,50,9.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11021,HAB_MWII,2011-01-21T08:00:00Z,10.5,NaN,NaN,25,NaN,NaN,6.672,NaN,NaN,NaN,0.99,11.43,NaN,9.64,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11026,HAB_MWII,2011-01-26T08:00:00Z,10.9,NaN,NaN,25,NaN,NaN,8.28,NaN,NaN,NaN,0.98,11.24,NaN,9.29,NaN,NaN,50,4.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11032,HAB_MWII,2011-02-01T08:00:00Z,11.83,NaN,NaN,25,NaN,NaN,2.831,NaN,NaN,NaN,0.76,8.2,NaN,5.5,NaN,NaN,50,3.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11040,HAB_MWII,2011-02-09T08:00:00Z,11.38,NaN,NaN,25,NaN,NaN,10.994,NaN,NaN,NaN,0.48,2.6,NaN,0.34,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,842.0,6479.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11047,HAB_MWII,2011-02-16T08:00:00Z,11.2,NaN,NaN,25,NaN,NaN,24.045,NaN,NaN,NaN,0.84,9.59,NaN,6.96,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,428.0,14272.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11054,HAB_MWII,2011-02-23T08:00:00Z,12.05,NaN,NaN,25,NaN,NaN,7.648,NaN,NaN,NaN,0.73,7.12,NaN,4.38,NaN,NaN,50,1.0606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,17429.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11062,HAB_MWII,2011-03-03T08:00:00Z,12.05,NaN,NaN,25,NaN,NaN,8.885,NaN,NaN,NaN,0.73,7.96,NaN,6.14,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1942.0,25553.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11068,HAB_MWII,2011-03-09T08:00:00Z,13.0,NaN,NaN,25,NaN,NaN,16.82,NaN,NaN,NaN,0.56,4.68,NaN,1.59,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,98965.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11075,HAB_MWII,2011-03-16T07:00:00Z,12.75,NaN,NaN,25,NaN,NaN,40.312,NaN,NaN,NaN,0.52,10.09,NaN,2.67,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,637.0,26579.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11082,HAB_MWII,2011-03-23T07:00:00Z,11.65,NaN,NaN,25,NaN,NaN,12.936,NaN,NaN,NaN,0.63,6.6,NaN,3.59,NaN,NaN,50,0.0716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,6246.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11091,HAB_MWII,2011-04-01T07:00:00Z,14.55,NaN,NaN,25,NaN,NaN,8.32,NaN,NaN,NaN,0.63,9.01,NaN,3.51,NaN,NaN,50,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1293.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11096,HAB_MWII,2011-04-06T07:00:00Z,13.5,NaN,NaN,25,NaN,NaN,22.701,NaN,NaN,NaN,0.56,8.39,NaN,4.31,NaN,NaN,50,0.0027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11103,HAB_MWII,2011-04-13T07:00:00Z,13.7,NaN,NaN,25,NaN,NaN,14.069,NaN,NaN,NaN,0.5,5.83,NaN,1.96,NaN,NaN,50,6.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,428.0,1715.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11110,HAB_MWII,2011-04-20T07:00:00Z,12.9,NaN,NaN,25,NaN,NaN,11.074,NaN,NaN,NaN,0.62,5.13,NaN,2.0,NaN,NaN,50,9.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2122.0,11789.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11117,HAB_MWII,2011-04-27T07:00:00Z,11.9,NaN,NaN,25,NaN,NaN,8.276,NaN,NaN,NaN,0.48,3.83,NaN,1.29,NaN,NaN,50,0.0031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4192.0,7910.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11124,HAB_MWII,2011-05-04T07:00:00Z,13.55,NaN,NaN,25,NaN,NaN,7.7514,NaN,NaN,NaN,0.74,9.64,NaN,2.39,NaN,NaN,50,6.0E-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1529.0,2637.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11131,HAB_MWII,2011-05-11T07:00:00Z,11.5,NaN,NaN,25,NaN,NaN,5.075,NaN,NaN,NaN,1.33,22.48,NaN,12.68,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1655.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11166,HAB_MWII,2011-06-15T07:00:00Z,14.8,NaN,NaN,25,NaN,NaN,3.654,NaN,NaN,NaN,0.79,7.02,NaN,1.56,NaN,NaN,50,0.0025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,420.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11179,HAB_MWII,2011-06-28T07:00:00Z,14.6,NaN,NaN,25,NaN,NaN,9.026,NaN,NaN,NaN,0.59,3.82,NaN,1.25,NaN,NaN,50,0.0158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4238.0,14082.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11341,HAB_MWII,2011-12-07T08:00:00Z,10.1,NaN,NaN,25,NaN,NaN,23.23,NaN,NaN,NaN,1.16,10.15,NaN,8.91,NaN,NaN,50,NaN,NaN,NaN,NaN,6238.0,0.0,0.0,0.0,0.0,1216.0,66358.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11348,HAB_MWII,2011-12-14T08:00:00Z,12.0,NaN,NaN,25,NaN,NaN,7.75,NaN,NaN,NaN,0.81,5.52,NaN,5.16,NaN,NaN,50,7.0E-4,NaN,NaN,NaN,412.0,0.0,0.0,0.0,0.0,0.0,1234.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11355,HAB_MWII,2011-12-21T08:00:00Z,11.9,NaN,NaN,25,NaN,NaN,6.33,NaN,NaN,NaN,1.19,10.42,NaN,7.79,NaN,NaN,50,4.0E-4,NaN,NaN,NaN,133.0,0.0,0.0,0.0,0.0,0.0,1717.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,11362,HAB_MWII,2011-12-28T08:00:00Z,12.1,NaN,NaN,25,NaN,NaN,12.26,NaN,NaN,NaN,0.96,8.55,NaN,5.75,NaN,NaN,50,3.0E-4,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,166.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,12004,HAB_MWII,2012-01-04T08:00:00Z,11.7,NaN,NaN,25,NaN,NaN,9.98,NaN,NaN,NaN,0.95,8.73,NaN,7.46,NaN,NaN,50,NaN,NaN,NaN,NaN,0.0,0.0,30.0,0.0,0.0,375.0,375.0,NaN,NaN,NaN,NaN,NaN,NaN
36.603687,-121.889275,5,12013,HAB_MWII,2012-01-13T08:00:00Z,11.4,NaN,NaN,25,NaN,NaN,7.0,NaN,NaN,NaN,1.07,9.66,NaN,8.04,NaN,NaN,50,3.0E-4,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,386.0,NaN,NaN,NaN,NaN,NaN,NaN
