"county","zone_ids"
"Clallam","107, 15, 21.02, 22.01, 22.02, 22.03, 23, 28.01, 28.02, 29"
"Grays Harbor","16.01, 17.01, 17.02, 17.03, 17.04"
"Island","108, 109, 34.01, 44, 47, 48.02, 49.04, 49.05, 51.01, 51.02, 54.03, 56"
"Jefferson","1, 11.01, 13, 14, 18.01, 18.02, 2.01, 21.01, 24.01, 24.02, 24.03, 24.04, 24.05, 25, 26, 27, 3.02, 30, 4"
"King","65.02, 72, 81.01, 81.02, 87, 91.01, 91.02, 91.03, 91.04"
"Kitsap","11.02, 110, 12, 2.02, 3.01, 3.03, 5.01, 59, 61.01, 61.02, 63.05, 65.01, 70.01, 70.02, 71.01, 71.02, 71.03, 77.01, 77.02, 78.01, 86.01, 88, 89.01, 95"
"Mason","10, 5.02, 6, 64.01, 64.02, 64.05, 64.07, 68, 7, 75, 8, 82, 83, 84, 9, 90, 93.01, 94.03, 94.04"
"Pacific","19.01, 19.02, 20.01, 20.02, 20.03, 20.04, 20.05, 20.06, 20.07, 20.08, 20.09, 20.1, 20.11, 20.12, 20.13, 20.14, 20.15, 20.16, 20.17, 20.18, 20.19"
"Pierce","63.01, 63.02, 63.03, 63.04, 63.06, 64.03, 64.04, 64.06, 64.08, 65.03, 66, 69, 74, 79.01, 79.02, 80.01, 85, 92, 92.01"
"San Juan","100.01, 100.02, 101.01, 101.02, 101.03, 101.04, 102.01, 102.02, 102.03, 103.01, 103.02, 104, 105, 106.01, 106.02, 96, 98, 99.01, 99.02, 99.03, 99.04"
"Skagit","33, 34.02, 39, 39.01, 42, 43, 46.01, 46.02, 46.03, 50, 52, 53, 54.01, 55, 57"
"Snohomish","48.01, 49.01, 49.02, 49.03, 54.02"
"Thurston","62, 68.01, 73.01, 73.02, 76, 80.02, 80.03, 93.02, 94.01, 94.02"
"Whatcom","31.01, 31.02, 31.03, 31.04, 32, 35, 37, 40.01, 40.02, 41, 45.01, 45.02"
