"latlong_orig"
NA
"38.29.00 / 123.12.00"
"38.32.50 / 123.18.01"
"38.29.017 N / 123.12.389 W"
"38.32.701 N / 123.18.751 W"
"38.29 N / 123.12.5 W"
"38.33 N / 123.18.8 W"
"38.01, 123.01"
"38.02, 123.02"
"38.05, 123.04"
"38 15.2303 -123 03.28"
"38 15.98 -123 00.65"
"35 03.41 -120 48.22"
"35 02.55 -120 46.57"
"35 01.48 -120 45.19"
"35 05.02 -120 44.41"
"35 03.30 -120 43.46"
"35 01.10 -120 43.30"
"35 08.17 -120 46.17"
"35 08.10 -120 47.06"
"37 34 -122 34"
"37 34 -122 41"
"37 17 -122 27"
"37 17 -122 29"
"36 39.04 -121 57.70"
"36 39.65 -121 52.42"
"40 39.5 -124 26.0"
"40 39.9 -124 25.76"
"40 40.54 -124 25.62"
"40 40.3 -124 25.32"
"40 39.88 -124 24.85"
"40 39.34 -124 24.64"
"40 50.12 -124 14"
"41 03 -124 09"
"41 16 -124 09"
"41 45.760 -124 18.921"
"41 45 .760 -124 18.921"
"41 35.837 -124 15.453"
"41 40.040 -124 12"
"32 40.29 -117 16.03"
"32 39.33 -117 16.05"
"32 37.22 -117 12.96"
"38 15.478 -123 03.467"
"38 16.054 -123 00.539"
"39 48.873 -123 52.584"
"39 49.463 -123 54.515"
"37 44.526 -122 48.518"
"37 51.763 -122 42.779"
"38 58.544 -123 43.533"
"39 00.066 -123 44.676"
"38 15.724 -123 03.321"
"38 15.159 -123 00.883"
"33 25.571 -117 40.512"
"37 51.759 -122 42.780"
"37 44.503 -122 48.511"
"39 49.090 -123 52.712"
"39 49.625 -123 54.661"
"37 51.752 -122 42.780"
"37 44.518 -122 48.525"
"37 51.760 -122 42.810"
"37 42.502 -122 48.618"
"37 44.505 -122 48.521"
"37 51.760-122 42.785"
"39 49.073 -123 52.677"
"39 49.482 -123 54.550"
"33 41 -118 14"
"37 51.965 -122 39.875"
"38 01.260 -123 00.681"
"38 02.545 -123 03.124"
"38 15.827 -123 00.350"
"38 15.125 -123 02.871"
"41 15.990 -124 11.220"
"41 16.013 -124 10.257"
"41 03.493 -124 14.487"
"41 03.255 -124 13.095"
"37 50.56 -122 46.78"
"37 50.87 -122 40.02"
"38 27.96 -123 12.14"
"38 27.11 -123.13.24"
"38 33.00 -123 20.08"
"38 33.15 -123 19.20"
"40 49 -124 16"
"40 49 -124 17"
"40 43 -124 23"
"40 41 -124 22"
"37 50.37 -122 39.94"
"37 50.37 -122 47.58"
"36 38 -121 51"
"36 40 -121 52"
"37 33 29 -122 34 29.2"
"37 33 29.5 -122 42 40.1"
"37 18 30.7 -122 32 01.6"
"37 17 17.1 -122 25 56.0"
"41 33.43 -124 18.16"
"41 33.29 -124 12.20"
"41 33.60 -124 21.58"
"41 33.35 -124 10.01"
"41 33.22 -124 07.51"
"41 33.29 -124 15.37"
"41 46.02 -124 21.20"
"41 46.01 -124 19.92"
"41 45.99 -124 23.09"
"41 44.48 -124 14.47"
"41 46.01 -124 18.69"
"41 45.16 -124 16.67"
"39 48.031 -123 52.370"
"39 47.999 -123 53.588"
"37 51.22 -122 40.54"
"37 50.80 -122 47.49"
"35 02.67 -120 43.89"
"35 01.84 -120 43.89"
"35 01.82 -120 47.78"
"35 02.41 -120 49.66"
"39 00.140 -123 43.389"
"38 59.96 -123 45.71"
"32.8669974, -117.2572513"
"34 02.278N, 119 31.545W"
"34 00.875N, 119 32.479W"
"34.052324,-119.568205"
"N 34 00 945, W 119 21 340"
"1) 34 02.56, 119 31.93. 2) 34 02.69, 119 32.54. 3) 34 01.77, 119 36.52"
"N 33 59.598’ W 119 33.772’ or N 33 59.624’ W 119 34.298’"
"N 33.969660, W 119.699454"
"N 34.247079, W 119.273130"
"34 03.14 -119 32.80"
"34 02.26 -119 31.50 or 34 02.45 -119 31.73"
"N 33 59.383' W 119 32.134"
"34 02.97 -119 35.51"
"34 03.25 -119 32.80"
"34 02.24 -119 31.46"
"33° 59.283 -119° 32.134"
"33° 59.788 -119° 31.873"
"N 34 03.2499 W 119 32.80"
"N 34 02.60 W 119 32.24"
"N 33 59.310 W 119 32.427"
"N 34 02.69 W 119 32.45"
"34 03.25 -119 32.76"
"34 02.67 -119 32.38"
"34 00.115 -119 23.457"
"34 00.945 -119 21.340"
"not available"
"33 26.989 -118 29.993"
"32 44.847 -117 15.672"
"34 23.38 -119 33.15"
"34 23.33 -119 33.07"
"34 23.24 -119 33.08"
"34 23.33 -119 32.50"
