PSP#,DA#,DSP#,CollectDate,SubmitDate,County,Waterbody,Org,Cert#,SiteName,Subsite,SiteID,MonitoringType,SampleType,ShellShucked,FreshFrozen,Species,ReceiveDate,PSPTissue,PSP Result,PSP Date,DomoicTissue,Domoic Result,Domoic Date,DSPTissue,DSP Result,DSP Date
200000143,200000074,,1/19/00,1/20/00,Pacific,Pacific County Coast,Washington Crab Producers,WCP,Cape Disappointment/Pt Brown,Area 60-A1,PAPO056,Supplemental,Commercial,In Shell,Cooked,Dungeness Crab,1/21/00,,,,Gut,NoTest,1/21/00,,,
200000142,200000073,,1/19/00,1/20/00,Pacific,Pacific County Coast,Washington Crab Producers,WCP,Cape Disappointment/Pt Brown,Area 60-A1,PAPO056,Supplemental,Commercial,In Shell,Cooked,Dungeness Crab,1/21/00,,,,Gut,NoTest,1/21/00,,,
200000141,200000072,,1/19/00,1/20/00,Pacific,Pacific County Coast,Washington Crab Producers,WCP,Cape Disappointment/Pt Brown,Area 60-A1,PAPO056,Supplemental,Commercial,In Shell,Cooked,Dungeness Crab,1/21/00,,,,Gut,NoTest,1/21/00,,,
200000140,200000071,,1/19/00,1/20/00,Pacific,Pacific County Coast,Washington Crab Producers,WCP,Cape Disappointment/Pt Brown,Area 60-A1,PAPO056,Supplemental,Commercial,In Shell,Cooked,Dungeness Crab,1/21/00,,,,Gut,NoTest,1/21/00,,,
200000139,200000070,,1/19/00,1/20/00,Pacific,Pacific County Coast,Washington Crab Producers,WCP,Cape Disappointment/Pt Brown,Area 60-A1,PAPO056,Supplemental,Commercial,In Shell,Cooked,Dungeness Crab,1/21/00,,,,Gut,NoTest,1/21/00,,,
200000178,,,1/24/00,1/25/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,1/26/00,Whole,NTD,1/26/00,,,,,,
200000170,,,1/24/00,1/25/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,1/25/00,Whole,NTD,1/25/00,,,,,,
200000169,200000086,,1/24/00,1/25/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,Blue Mussel,1/25/00,Whole,NTD,1/25/00,Whole,NTD,1/26/00,,,
200000179,,,1/25/00,1/25/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,1/26/00,Whole,NTD,1/26/00,,,,,,
200000209,,,1/31/00,2/1/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,2/2/00,Whole,NTD,2/2/00,,,,,,
200000199,199900096,,1/31/00,1/31/00,Pacific,Willapa Bay,Department of Health,DOH,Tokeland Marina,,PAWB008,Monitoring,Program,In Shell,Fresh,Blue Mussel,2/1/00,Whole,NTD,2/1/00,Whole,NTD,2/1/00,,,
200000198,199901271,,1/31/00,1/31/00,Pacific,Willapa Bay,Department of Health,DOH,Bay Center Dock,,PAWB010,Monitoring,Program,In Shell,Fresh,Blue Mussel,2/1/00,Whole,NTD,2/1/00,Whole,NTD,2/1/00,,,
200000210,,,2/1/00,2/1/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,2/2/00,Whole,NTD,2/2/00,,,,,,
200000218,200000101,,2/2/00,2/3/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,Blue Mussel,2/3/00,Whole,NTD,2/3/00,Whole,NTD,2/4/00,,,
200000217,,,2/2/00,2/3/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,2/3/00,Whole,NTD,2/3/00,,,,,,
200000263,200000127,,2/4/00,2/7/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/8/00,Gut,,,Gut,NTD,2/10/00,,,
200000262,200000126,,2/4/00,2/7/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/8/00,Gut,,,Gut,NTD,2/10/00,,,
200000261,200000125,,2/4/00,2/7/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/8/00,Gut,,,Gut,<1,2/10/00,,,
200000260,200000124,,2/4/00,2/7/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/8/00,Gut,,,Gut,NTD,2/10/00,,,
200000259,200000123,,2/4/00,2/7/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/8/00,Gut,,,Gut,NTD,2/10/00,,,
200000258,200000122,,2/4/00,2/7/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/8/00,Gut,,,Gut,NTD,2/10/00,,,
200000272,,,2/7/00,2/8/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,2/9/00,Whole,NTD,2/9/00,,,,,,
200000255,,,2/7/00,2/8/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,California Mussel,2/8/00,Whole,NTD,2/8/00,,,,,,
200000254,,,2/7/00,2/8/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,Pacific Oyster,2/8/00,Whole,NTD,2/8/00,,,,,,
200000271,,,2/8/00,2/8/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,2/9/00,Whole,NTD,2/9/00,,,,,,
200000316,200000147,,2/14/00,2/15/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,60 A-1,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/16/00,,,,Gut,NTD,2/18/00,,,
200000315,200000146,,2/14/00,2/15/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,60 A-1,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/16/00,,,,Gut,NTD,2/18/00,,,
200000314,200000145,,2/14/00,2/15/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,60 A-1,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/16/00,,,,Gut,NTD,2/18/00,,,
200000313,200000144,,2/14/00,2/15/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,60 A-1,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/16/00,,,,Gut,NTD,2/18/00,,,
200000312,199901276,,2/14/00,2/15/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,60 A-1,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/16/00,,,,Gut,NTD,2/18/00,,,
200000311,200001283,,2/14/00,2/15/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,60 A-1,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,2/16/00,,,,Gut,NTD,2/18/00,,,
200000309,,,2/14/00,2/15/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,2/16/00,Whole,NTD,2/16/00,,,,,,
200000292,,,2/14/00,2/15/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,2/15/00,Whole,NTD,2/15/00,,,,,,
200000291,200000134,,2/14/00,2/15/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,California Mussel,2/15/00,Whole,NTD,2/15/00,Whole,NTD,2/16/00,,,
200000306,200000141,,2/15/00,2/16/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Twin Harbors Area CL,,PAPOCL9,Monitoring,Sport,In Shell,Fresh,Razor Clam,2/16/00,Meat,39,2/16/00,Meat,14,2/17/00,,,
200000304,200000139,,2/15/00,2/16/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Twin Harbors Area G,,PAPO0G9,Monitoring,Sport,In Shell,Fresh,Razor Clam,2/16/00,Meat,<38,2/16/00,Meat,19,2/17/00,,,
200000303,200000138,,2/15/00,2/16/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Long Beach Area OY,,PAPOOY1,Monitoring,Sport,In Shell,Fresh,Razor Clam,2/16/00,Meat,40,2/16/00,Meat,5,2/17/00,,,
200000302,200000137,,2/15/00,2/16/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Long Beach Area XA,,PAPOXA1,Monitoring,Sport,In Shell,Fresh,Razor Clam,2/16/00,Meat,<38,2/16/00,Meat,2,2/17/00,,,
200000301,200000136,,2/15/00,2/16/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Long Beach Area E,,PAPO0E1,Monitoring,Sport,In Shell,Fresh,Razor Clam,2/16/00,Meat,41,2/16/00,Meat,2,2/17/00,,,
200000310,,,2/15/00,2/15/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,2/16/00,Whole,NTD,2/16/00,,,,,,
200000318,200000149,,2/16/00,2/16/00,Pacific,Willapa Bay,Department of Health,DOH,Tokeland Marina,,PAWB008,Monitoring,Program,In Shell,Fresh,Blue Mussel,2/17/00,Whole,NTD,2/17/00,Whole,NTD,2/18/00,,,
200000317,200000148,,2/16/00,2/16/00,Pacific,Willapa Bay,Department of Health,DOH,Bay Center Dock,,PAWB010,Monitoring,Program,In Shell,Fresh,Blue Mussel,2/17/00,Whole,NTD,2/17/00,Whole,NTD,2/18/00,,,
200000396,200000185,,2/28/00,2/29/00,Pacific,Pacific County Coast,Washington Crab Producers,159,Cape Disappointment/Pt Brown,Leadbetter Pt/ Pt Chehalis,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/1/00,,,,Gut,NTD,3/2/00,,,
200000395,200000184,,2/28/00,2/29/00,Pacific,Pacific County Coast,Washington Crab Producers,159,Cape Disappointment/Pt Brown,Leadbetter Pt/ Pt Chehalis,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/1/00,,,,Gut,NTD,3/2/00,,,
200000394,200000183,,2/28/00,2/29/00,Pacific,Pacific County Coast,Washington Crab Producers,159,Cape Disappointment/Pt Brown,Leadbetter Pt/ Pt Chehalis,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/1/00,,,,Gut,NTD,3/2/00,,,
200000393,200000182,,2/28/00,2/29/00,Pacific,Pacific County Coast,Washington Crab Producers,159,Cape Disappointment/Pt Brown,Leadbetter Pt/ Pt Chehalis,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/1/00,,,,Gut,NTD,3/2/00,,,
200000392,200000181,,2/28/00,2/29/00,Pacific,Pacific County Coast,Washington Crab Producers,159,Cape Disappointment/Pt Brown,Leadbetter Pt/ Pt Chehalis,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/1/00,,,,Gut,NTD,3/2/00,,,
200000391,200001285,,2/28/00,2/29/00,Pacific,Pacific County Coast,Washington Crab Producers,159,Cape Disappointment/Pt Brown,Leadbetter Pt/ Pt Chehalis,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/1/00,,,,Gut,NTD,3/2/00,,,
200000383,200000175,,2/28/00,2/29/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,California Mussel,2/29/00,Whole,NTD,2/29/00,Whole,NTD,3/1/00,,,
200000382,,,2/28/00,2/29/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,2/29/00,Whole,NTD,2/29/00,,,,,,
200000381,,,2/28/00,2/28/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,2/29/00,Whole,NTD,2/29/00,,,,,,
200000380,,,2/28/00,2/28/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,2/29/00,Whole,NTD,2/29/00,,,,,,
200000386,200000177,,2/29/00,2/29/00,Pacific,Willapa Bay,Department of Health,DOH,Tokeland Marina,,PAWB008,Monitoring,Program,In Shell,Fresh,Blue Mussel,3/1/00,Whole,NTD,3/1/00,Whole,NTD,3/2/00,,,
200000385,200000176,,2/29/00,2/29/00,Pacific,Willapa Bay,Department of Health,DOH,Bay Center Dock,,PAWB010,Monitoring,Program,In Shell,Fresh,Blue Mussel,3/1/00,Whole,NTD,3/1/00,Whole,NTD,3/2/00,,,
200000443,,,3/6/00,3/7/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,3/8/00,Whole,NTD,3/8/00,,,,,,
200000417,200000195,,3/6/00,3/7/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,Blue Mussel,3/7/00,Whole,NTD,3/7/00,Whole,NTD,3/8/00,,,
200000416,,,3/6/00,3/7/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,3/7/00,Whole,NTD,3/7/00,,,,,,
200000444,,,3/7/00,3/7/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,3/8/00,Whole,NTD,3/8/00,,,,,,
200000477,,,3/13/00,3/14/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,3/15/00,Whole,NTD,3/15/00,,,,,,
200000479,,,3/14/00,3/14/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,3/15/00,Whole,NTD,3/15/00,,,,,,
200000510,200000234,,3/15/00,3/16/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/17/00,,,,Gut,NTD,3/20/00,,,
200000509,200000233,,3/15/00,3/16/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/17/00,,,,Gut,NTD,3/20/00,,,
200000508,200000232,,3/15/00,3/16/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/17/00,,,,Gut,NTD,3/20/00,,,
200000507,200000231,,3/15/00,3/16/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/17/00,,,,Gut,NTD,3/20/00,,,
200000506,200000230,,3/15/00,3/16/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/17/00,,,,Gut,NTD,3/20/00,,,
200000505,200000229,,3/15/00,3/16/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,3/17/00,,,,Gut,NTD,3/20/00,,,
200000494,,,3/15/00,3/16/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,3/16/00,Whole,NTD,3/16/00,,,,,,
200000493,200000224,,3/15/00,3/16/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,California Mussel,3/16/00,Whole,NTD,3/16/00,Whole,NTD,3/17/00,,,
200000486,200000220,,3/15/00,3/15/00,Pacific,Willapa Bay,Department of Health,DOH,Tokeland Marina,,PAWB008,Monitoring,Program,In Shell,Fresh,Blue Mussel,3/16/00,Whole,NTD,3/16/00,Whole,NTD,3/17/00,,,
200000485,200000219,,3/15/00,3/15/00,Pacific,Willapa Bay,Department of Health,DOH,Bay Center Dock,,PAWB010,Monitoring,Program,In Shell,Fresh,Blue Mussel,3/16/00,Whole,NTD,3/16/00,Whole,NTD,3/17/00,,,
200000532,200000247,,3/20/00,3/21/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,California Mussel,3/21/00,Whole,NTD,3/21/00,Whole,NTD,3/22/00,,,
200000531,,,3/20/00,3/21/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,3/21/00,Whole,NTD,3/21/00,,,,,,
