PSP#,DA#,DSP#,CollectDate,SubmitDate,County,Waterbody,Org,Cert#,SiteName,Subsite,SiteID,MonitoringType,SampleType,ShellShucked,FreshFrozen,Species,ReceiveDate,PSPTissue,PSP Result,PSP Date,DomoicTissue,Domoic Result,Domoic Date,DSPTissue,DSP Result,DSP Date
200000030,,,1/3/00,1/4/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,1/7/00,Whole,NTD,1/7/00,,,,,,
200000029,,,1/3/00,1/3/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,1/7/00,Whole,NTD,1/7/00,,,,,,
200000009,,,1/3/00,1/4/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,1/4/00,Whole,NTD,1/4/00,,,,,,
200000008,200000001,,1/3/00,1/4/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,California Mussel,1/4/00,Whole,NTD,1/4/00,Whole,NTD,1/5/00,,,
200000012,200000004,,1/4/00,1/4/00,Pacific,Willapa Bay,Department of Health,DOH,Tokeland Marina,,PAWB008,Monitoring,Program,In Shell,Fresh,Blue Mussel,1/5/00,Whole,NTD,1/5/00,Whole,NTD,1/5/00,,,
200000010,200000002,,1/4/00,1/4/00,Pacific,Willapa Bay,Department of Health,DOH,Bay Center Dock,,PAWB010,Monitoring,Program,In Shell,Fresh,Blue Mussel,1/5/00,Whole,NTD,1/5/00,Whole,NTD,1/5/00,,,
200000046,200000026,,1/10/00,1/11/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,Blue Mussel,1/11/00,Whole,NTD,1/11/00,Whole,NTD,1/12/00,,,
200000040,,,1/10/00,1/11/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,1/11/00,Whole,NTD,1/11/00,,,,,,
200000064,,,1/11/00,1/11/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,1/12/00,Whole,NTD,1/12/00,,,,,,
200000063,,,1/11/00,1/11/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Monitoring,Commercial,In Shell,Fresh,Manila Clam,1/12/00,Whole,NTD,1/12/00,,,,,,
200000103,200000050,,1/15/00,1/17/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/18/00,,,,Gut,NTD,1/19/00,,,
200000102,200000049,,1/15/00,1/17/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/18/00,,,,Gut,NTD,1/19/00,,,
200000101,200000048,,1/15/00,1/17/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/18/00,,,,Gut,NTD,1/19/00,,,
200000100,200000047,,1/15/00,1/17/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/18/00,,,,Gut,NTD,1/19/00,,,
200000099,200000046,,1/15/00,1/17/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/18/00,,,,Gut,NTD,1/19/00,,,
200000098,200000045,,1/15/00,1/17/00,Pacific,Pacific County Coast,Jessie's Ilwaco Fish Company,326,Cape Disappointment/Pt Brown,,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/18/00,,,,Gut,NTD,1/19/00,,,
200000110,,,1/16/00,1/18/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Bruceport Area,,PAWB006,Supplemental,Commercial,In Shell,Fresh,Manila Clam,1/19/00,Whole,NTD,1/19/00,,,,,,
200000128,200000062,,1/17/00,1/19/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,Grays Harbor Mouth,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/20/00,,,,Gut,NTD,1/21/00,,,
200000127,200000061,,1/17/00,1/19/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,Grays Harbor Mouth,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/20/00,,,,Gut,NTD,1/21/00,,,
200000126,200000060,,1/17/00,1/19/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,Grays Harbor Mouth,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/20/00,,,,Gut,NTD,1/21/00,,,
200000125,200000059,,1/17/00,1/19/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,Grays Harbor Mouth,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/20/00,,,,Gut,NTD,1/21/00,,,
200000124,200000058,,1/17/00,1/19/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,Grays Harbor Mouth,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/20/00,,,,Gut,NTD,1/21/00,,,
200000123,200000057,,1/17/00,1/19/00,Pacific,Pacific County Coast,South Bend Packers,1119,Cape Disappointment/Pt Brown,Grays Harbor Mouth,PAPO056,Monitoring,Commercial,In Shell,Cooked,Dungeness Crab,1/20/00,,,,Gut,NTD,1/21/00,,,
200000089,200000039,,1/17/00,1/18/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Twin Harbors Area G,,PAPO0G9,Monitoring,Sport,In Shell,Fresh,Razor Clam,1/18/00,Meat,<38,1/18/00,Meat,10,1/18/00,,,
200000088,200000038,,1/17/00,1/18/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Twin Harbors Area CL,,PAPOCL9,Monitoring,Sport,In Shell,Fresh,Razor Clam,1/18/00,Meat,<38,1/18/00,Meat,6,1/18/00,,,
200000087,200000037,,1/17/00,1/18/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Long Beach Area OY,,PAPOOY1,Monitoring,Sport,In Shell,Fresh,Razor Clam,1/18/00,Meat,41,1/18/00,Meat,7,1/18/00,,,
200000086,200000036,,1/17/00,1/18/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Long Beach Area E,,PAPO0E1,Monitoring,Sport,In Shell,Fresh,Razor Clam,1/18/00,Meat,42,1/18/00,Meat,4,1/18/00,,,
200000085,200000035,,1/17/00,1/18/00,Pacific,Pacific County Coast,Department of Fish & Wildlife,WDF,Long Beach Area XA,,PAPOXA1,Monitoring,Sport,In Shell,Fresh,Razor Clam,1/18/00,Meat,<38,1/18/00,Meat,4,1/18/00,,,
200000095,,,1/17/00,1/18/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Commercial,In Shell,Fresh,Pacific Oyster,1/18/00,Whole,NTD,1/18/00,,,,,,
200000094,200000044,,1/17/00,1/18/00,Pacific,Willapa Bay,"Wiegardt Brothers, Inc.",45,Stackpole Harbor,,PAWB009,Monitoring,Program,In Shell,Fresh,Blue Mussel,1/18/00,Whole,NTD,1/18/00,Whole,NTD,1/18/00,,,
200000111,,,1/18/00,1/18/00,Pacific,Willapa Bay,Coast Seafoods Company,6,Nahcotta Area,,PAWB002,Monitoring,Commercial,Shucked,Fresh,Pacific Oyster,1/19/00,Whole,NTD,1/19/00,,,,,,
200000108,200000054,,1/18/00,1/18/00,Pacific,Willapa Bay,Department of Health,DOH,Bay Center Dock,,PAWB010,Monitoring,Program,In Shell,Fresh,Blue Mussel,1/19/00,Whole,NTD,1/19/00,Whole,NTD,1/19/00,,,
200000107,200000053,,1/18/00,1/18/00,Pacific,Willapa Bay,Department of Health,DOH,Tokeland Marina,,PAWB008,Monitoring,Program,In Shell,Fresh,Blue Mussel,1/19/00,Whole,NTD,1/19/00,Whole,NTD,1/19/00,,,
200000144,200000075,,1/19/00,1/20/00,Pacific,Pacific County Coast,Washington Crab Producers,WCP,Cape Disappointment/Pt Brown,Area 60-A1,PAPO056,Supplemental,Commercial,In Shell,Cooked,Dungeness Crab,1/21/00,,,,Gut,NoTest,1/21/00,,,
