viscera_ppm,meat_ppm
6.342015855,1.109298532
7.610419026,1.174551387
7.429218573,1.566068515
8.516421291,1.76182708
11.9592299,1.109298532
13.95243488,1.174551387
19.02604757,1.63132137
29.89807475,2.022838499
29.89807475,2.414355628
31.89127973,2.088091354
36.05889015,1.305057096
38.9580974,1.827079935
36.96489241,3.262642741
39.86409966,3.980424144
36.96489241,4.502446982
32.97848245,4.893964111
31.89127973,4.306688418
30.0792752,5.024469821
40.95130238,4.763458401
40.95130238,6.003262643
34.06568516,6.721044046
32.97848245,7.04730832
31.89127973,6.7862969
31.89127973,6.394779772
30.0792752,7.373572594
24.82446206,2.022838499
43.85050963,1.76182708
48.92412231,2.544861338
54.90373726,2.022838499
54.90373726,4.371941272
60.88335221,3.001631321
61.97055493,3.197389886
90.96262741,3.197389886
130.1019253,2.936378467
119.9546999,18.00978793
81.17780294,12.98531811
69.03737259,18.00978793
46.02491506,24.01305057
98.02944507,21.01141925
119.9546999,26.94942904
130.1019253,27.01468189
140.0679502,33.01794454
150.0339751,35.954323
