"quantity_comments"
"< 1.0 ppm MRl = 1.0 ppm"
"< 1.0 ppm MRL = 1.0 ppm"
"< 1.0 ppm MRL=1.0 ppm"
"< 5.5 ppm PL=5.5 ppm"
"<1.0 ppm MRL = 1.0 ppm"
"<1.0 ppm MRL=1.0"
"<1.0 ppm MRL=1.0 ppm"
"<2.0 ppm MRL=2.0 ppm"
"<5.5 ppm PL=5.5 ppm"
"1.0 ppm MRL=1.0 ppm"
"1.1 ppm MRL=1.0 ppm"
"1.2 ppm MRL=1.0 ppm"
"1.3 ppm MRL=1.0 ppm"
"1.4 ppm MRL=1.0 ppm"
"1.5 ppm MRL = 1.0 ppm"
"1.5 ppm MRL=1.0 ppm"
"1.6 ppm MRL=1.0 ppm"
"1.7 ppm MRL=1.0 ppm"
"12 ppm MRL=1.0 ppm"
"120 ppm MRL=1.0 ppm"
"14 ppm MRL=1.0 ppm"
"18 ppm MRL=1.0 ppm"
"2.0 ppm MRL=1.0 ppm"
"2.1 ppm MRL=1.0 ppm"
"2.3 ppm MRL=1.0 ppm"
"2.5 ppm MRL=1.0 ppm"
"2.6 ppm MRL=1.0 ppm"
"2.8 ppm MRL=1.0 ppm"
"21 ppm MRL=1.0 ppm"
"23 ppm MRL=1.0 ppm"
"27 ppm MRL=1.0 ppm"
"3.0 ppm MRL=1.0 ppm"
"3.2 ppm MRL = 1.0 ppm"
"3.2 ppm MRL=1.0 ppm"
"3.3 ppm MRL=1.0 ppm"
"3.7 ppm MRL=1.0 ppm"
"3.8 ppm MRL=1.0 ppm"
"3.9 ppm MRL=1.0 ppm"
"33 ppm MRL=1.0 ppm"
"33. ppm MRL = 1.0 ppm"
"37 ppm MRL=1.0 ppm"
"4.0 ppm MRL=1.0 ppm"
"4.4 ppm MRL=1.0 ppm"
"4.5 ppm MRL=1.0 ppm"
"4.6 ppm MRL=1.0 ppm"
"4.8 ppm MRL=1.0 ppm"
"4.9 ppm MRL=1.0 ppm"
"45 ppm MRL=1.0 ppm"
"47 ppm MRL=1.0 ppm"
"49 ppm MRL=1.0 ppm"
"5.0 ppm MRL=1.0 ppm"
"5.2 ppm MRL = 1.0 ppm"
"5.6 ppm MRL=1.0 ppm"
"55 ppm MRL=1.0 ppm"
"59 ppm MRL=1.0 ppm"
"6.0 ppm MRL=1.0 ppm"
"6.7 ppm MRL=1.0 ppm"
"6.8 ppm MRL=1.0 ppm"
"6.9 ppm MRL=1.0 ppm"
"62 ppm MRL=1.0 ppm"
"7.1 ppm MRL=1.0 ppm"
"7.9 ppm MRL=1.0 ppm"
"88 ppm MRL = 1.0 ppm"
"9.1 ppm MRL=1.0 ppm"
"9.4 ppm MRL=1.0 ppm"
"97. ppm MRL = 1.0 ppm"
"No testing oer J Dowell"
"No testing per J Dowell"
